id,body,code,txtlength
55905,SECTION: Section A . Page 25 x Column 1 . Editorial Desk,NA,56
56120,SECTION: Section 4 . Page 15 . Column 1 . Editorial Desk,NA,56
56945,TIMES are turbulent in industrial real estate again x says Mathew R . Sassano x who is well placed to judge such matters . He is the general manager of Atlas Terminals x a 25 acre industrial center in Glenwood x Queens x where 52 tenants operate in 38 buildings with a total of one million square feet of space . Occupancy had reached 100 percent in the 80's after the dispiriting 70's x he said x but the vacancy rate climbed back to 25 percent over the last two and a half years . About half the net lose of xa turnaround x but it's really too xsoon to say that . Capacchione of NCC Sportswear . (Rebecca Cooney for The New York Times) Copyright 1992 The New York Times Company,Negative,680
57388,"The Labor Department disclosed today that 164 ,000 more payroll jobs were lose the xshape of the recession or the budding recovery . The recession was much milder than the average postwar recession under both the previously published and the revised time series x the department declared x calculating a 1dot8 percent lose the xrevision . Copyright 1992 The New York Times Company",Negative,381
57545,"Computer driven sell programs contributed to a drop in stock prices yesterday x as many investors stayed on the sidelines ahead of the Government's report today on March employment figures . Many on Wall Street are anxiously awaiting the employment report x which is the first official indication of how the economy did last month .  The Dow Jones industrial average fell 15 .21 points to close at 3 ,234 .12 . After moving in a narrow range for most the the session x the Dow tumbled more than 35 points in the afternoon x but recovered 15 points before the close of trading . Volume on the New York Stock Exchange totaled 185 .4 million xshare to 3 ,926 .541 . the most shareholders . Copyright 1992 The New York Times Company",Negative,729
57657,A month ago x Bobby Vaughn was a sad casualty of the recession . He had not worked full time in a year . His construction business had fail to xfeed his two children on odd jobs here and there . Nobody seem xlike busboy and housekeeper . Lined up elbow to elbow x five and six deep x they were presented on the nightly news and on the front pages of newspapers as a river of desperation x a living symbol of a recession that would not mostly menial jobs suggests a fundamental restructuring of the economy x specialists say x one that has produced an employer's market where job security is a bonus and everyone feel xlike it's a shrinking pie and their piece is getting smaller x said Dr . William Roiter x a workplace psychologist in Boston . Workers see those people on line and can see themselves on line . The basic rules of the game xagainst x he said . (Jonathan Kirn for The New York Times) (pg . 24) Copyright 1992 The New York Times Company,Negative,951
57932,"METRO DIGEST GOOD NEWS ON UNEMPLOYMENT SPENDING New York x New Jersey and Pennsylvania stand to reap tens of millions of dollars from a revamping of the Government survey from which unemployment rates are calculated x according to Federal and state officials . The extra money would result mainly from the states' greater xshare in some way to the severity of unemployment in a state or locality . Since the total pool of aid is more or (less) not fixed x other states would lose xopportunityies x she felt . Such exchanges of curiosity and experience were the purpose of the 13th annual conference of the Adoptive Parents Committee x which drew 2 ,000 people to the State University of New York at Purchase . Adoptive parents and those who thought they wanted to be xshare of the adoptive process . B4 . Chronicle B6 CORRECTION DATE: November 23",Negative,847
58019,After peaking in 1988 x the number of commercial banks in the region has plummeted x in large part reflecting the effects of the recession . The trend in New York has been driven by mergers like the one between Chemical Bank and Manufacturers Hanover x and by moves by many large New York City based banks to merge their upstate subsidiaries into the parent banks . In Connecticut x the FDIC closed 10 institutions in 1992 alone . only one of the state's banks was closed in the 1980s . In New Jersey x a slow down in commercial real estate and construction took a toll on commercial banks x but they resumed profitable operations in 1992 x after three years of setbacks . The thrift industry in all three states has also contracted x afflicted by the same troubles that beset many of the country's savings and loan associations . commercial banks from 1984 to 1992 . (Source: Federal Deposit Insurance Corporation . Office of Thrift Supervision) Copyright 1993 The New York Times Company,Negative,989
58950,Dampened by winter storms x the overall unemployment rate for New York and New Jersey took a turn for the worse last month x while the rate for New York City improved x reflecting the growing strength of the city's economy . In New York State x the unemployment rate x adjusted for normal seasonal fluctuations x increased to 7dot8 percent last month from 7dot1 percent in January x according to figures released yesterday by the Federal Bureau of Labor Statistics . It was the first big increase since October .  The change represented a lose an xeconomic spring x he said . Copyright 1994 The New York Times Company,Negative,618
59196,"Employment levels in New York City x New York State and New Jersey were (little) not changed in August x according to Federal data released yesterday . But the unemployment rate x a measure of the number of people who have been unsuccessfully look xlike the changes in the teen aged work force x (no) not seasonal adjustment is provided for New York City x making data for the city more volatile .  August employment levels x regarded as a more accurate measure of economic performance x fell slightly in New York State and New Jersey from July levels .  The number of employed people in New York fell by 56 ,000 x to slightly more than 8 million . The number of those employed in New Jersey fell by 33 ,000 x to slightly fewer than 3dot8 million .  The Federal report found that the slight employment decline to xslightly fewer than 3 million . statistics for August . (Source: Bureau of Labor Statistics) Copyright 1995 The New York Times Company",Negative,949
60055,THOUSANDS of Long Island homeowners lose their xxhomes x Mr Zimmer said in a telephone interview . This is not grant program x it's not handout x he said . It's a loan program that helps people re establish themselves and rebuild their lives . the Long Island Housing Partnership . Mr Lazio and the Partnership sponsored a Hauppauge conference on foreclosures . (Vic DeLucia/The New York Times) Copyright 1997 The New York Times Company,Negative,437
60215,To the Editor: While agreeing with my concern that New York City is lose xproductivity . What's wrong with setting a goal of paying New York City's teachers fairly in return for things like tough standards x accountability x residency or work rule changes . What's wrong with working for an agreement that combines pay increases with productivity increases in such a way that one pays for the other over time . RUTH W . MESSINGER Manhattan Borough President New York x July 18 x 1997 TYPE: Letter Copyright 1997 The New York Times Company,Negative,539
60245,"The number of Americans applying for state unemployment insurance rose a surprising 8 ,000 in the week ending last Saturday to a seasonally adjusted level of 347 ,000 x the Labor Department said today . The increase in claims was the opposite of analysts' expectations for an 8 ,000 decline to x335 ,5000 . Copyright 1997 The New York Times Company",Negative,349
60945,As mounting business confidence encourages fresh hiring x the unemployment rate in France dropped in November to 10 .8 percent x its lowest rate in seven years x from 11 percent in October . French unemployment remains more than twice that of the United States and higher than the average x which was 9dot9 percent in October x of the 11 countries that joined a year ago to create the European single currency x the euro . But economic growth in France and increased hiring have caused the rate to decline steadily since it peaked at 12 .6 percent in June 1997 . John Tagliabue http://www .nytimescom Copyright 1999 The New York Times Company,Positive,643
61005,To the Editor: To state x as Judith Shulevitz does in her review of Susan Faludi's Stiffed (Oct 3) x that you would (never) not know xwell as  .  .  . entrepreneurial skill x Shulevitz serves only to blame the victim . The basic underlying issue is that employers in the postindustrial economy have discovered a way to rid themselves of that pesky social contract America once had in the postwar period . Nancy Wiefek State College x Pa . http://www .nytimescom TYPE: Letter Copyright 1999 The New York Times Company,Negative,517
61223,For nearly three decades x in good times and in bad x young black men with (little) not education and few skills lose of xWilliam and Mary)(pg . 24) Copyright 1999 The New York Times Company,Positive,191
61412,EURO SOARS . The euro rose on the belief that the United States economy is slowing faster and sooner than expected . The euro settled in New York at 92 .52 cents x up from 91 .43 cents on Thursday . http://www .nytimescom Bloomberg Financial Markets) . It also shows yesterday's closes for the British pound (in US dollars) x the Canadian dollar (per US dollar) x the German mark (per US dollar) x the Japanese yen (per US dollar) x the Mexican peso (pers US dollar) x and the South Korean won (per US dollar) . Copyright 2000 The New York Times Company,Positive,554
61666,Economic growth in the industrial world will accelerate this year x to the fastest pace in more than a decade x the Organization for Economic Cooperation and Development said here today x revising its growth estimates upward for the euro region x Japan and the United States . The combined economies of the 29 member nations will grow 4 percent this year x the OECD said x up from a forecast in December of 2dot9 percent .  In recent months x the world economy has rebounded more xquick to future shocks x it added . http://www .nytimescom Copyright 2000 The New York Times Company,Positive,582
61869,"Unemployment in France rose 0dot1 percentage point to 9 percent in November x the seventh consecutive monthly increase x the government said . The number of jobless people rose by 33 ,000 from October's levels to slightly more than 2dot2 million x the Labor Ministry said . Joblessness stood at 8dot9 percent in October . France's unemployment rate had decline to xearly 2001 x before the trend began to reverse . Unemployment was at 9dot1 percent a year ago in November . The finance minister x Laurent Fabius x said he is not surprised by the rise from October to November x saying France faces the effects of economic downturn in Germany x Japan and the United States . URL: http://www .nytimescom Copyright 2001 The New York Times Company",Negative,744
62127,"The Goodyear Tire and Rubber Company said yesterday that economic uncertainty made worse by the terrorist attacks has led to the elimination of as many as 475 jobs at two Alabama plants . The company said as many as 225 workers would be laid off at its tire factory in Gadsden x and another 250 jobs would be eliminated at a Goodyear owned Dunlop factory in Huntsville . Goodyear x based in Akron x Ohio x plans to cut as many as 1 ,400 jobs x or 5 percent of its manufacturing work force x at five plants this month . The company cited declining demand because of the slow economy for the job reductions . URL: http://www .nytimescom Copyright 2001 The New York Times Company",Negative,678
62303,Mexico has been dragged into recession by the faltering American economy x taking a toll on millions of Mexicans and the political aspirations of President Vicente Fox .  Mr Fox took office on Dec 1 promising to create 1dot4 million new jobs . That has proved a mirage . Instead x hundreds of thousands of people x perhaps as many as half a million x by some estimates x have lose their xxcosts . The correlation of manufacturing job lose their xxword . Everything is the same . URL: http://www .nytimescom with Alejandro Toledo of Peru x top x and Francisco Flores of El Salvador . (Associated Press) Copyright 2001 The New York Times Company,Negative,644
62374,EURO FALLS . The dollar rose against the euro on optimism US stock gains and better than expected company earnings may herald a rebound in economic growth . In New York x the euro fell to 85 .34 cents x from 85 .91 cents . URL: http://www .nytimescom Bloomberg Financial Markets) . It also shows yesterday's closes for the British pound (in US dollars) x the Canadian dollar (per US dollar) x the German mark (per US dollar) x the Japanese yen (per US dollar) x the Mexican peso (pers US dollar) x and the South Korean won (per US dollar) . Copyright 2001 The New York Times Company,Positive,583
62408,British interest rates are likely to remain steady or rise after the Bank of England's monetary policy committee voted 8 to 1 to keep the benchmark rate at 5 .25 percent this month . After three rate cuts earlier in the year x largely in response to the economic downturn in the United States x minutes from the bank's monthly meetings on June 5 and 6 said that the United States slowdown had so far been (less) not severe than expected and that a further cut in British rates would heighten inflationary pressures . Since the bank's deliberations x data have shown British wages x prices x home buying and consumer demand are all rising . Alan Cowell (NYT) URL: http://www .nytimescom Copyright 2001 The New York Times Company,Positive,729
62417,In the debate on global climate change it has long been a given that China x with its huge population and endless coal reserves x would overtake the United States early this century as the biggest source of the atmospheric pollution that scientists believe is xwarming climate related natural disasters x have the most to lose the xUS Department of Energy and the United Nations)(pg . A8) Copyright 2001 The New York Times Company,Negative,431
62692,EURO GAINS . The euro rose on expectations that reports this week will show that economic growth in Europe is outpacing that of the United States . In New York x the euro settled at 93 .87 cents x up from 93 .48 cents on Friday . URL: http://www .nytimescom Bloomberg Financial Markets) . It also shows yesterday's closes for the British pound (in US dollars) x the Canadian dollar (per US dollar) x the German mark (per US dollar) x the Japanese yen (per US dollar) x the Mexican peso (pers US dollar) x and the South Korean won (per US dollar) . Copyright 2001 The New York Times Company,Negative,591
62985,The Federal Reserve left interest rates steady today but downgraded its view of the economy and signaled that it would consider cutting rates if the recovery from last year's recession continued to lose the xcorporate bond market that is making it harder for some companies to obtain financing . They say a rate cut would have a positive psychological impact and would keep the Fed in front of what some analysts think is a growing threat of deflation x a broad based x hard to reverse decline to xa worry over economic weakness . Graph tracks BALANCE OF RISKS from 1999 2002:Inflation (higher rates)NeutralWeakness (lower rates) Graph also tracks Fed funds target rate from 1999 2002 Yesterday's change to concern over weakness (Source: Federal Reserve) Copyright 2002 The New York Times Company,Negative,797
63052,The dollar x after rising sharply in value for years in a reflection of American economic might x is weakening markedly x mirroring concern about the fragility of the economic recovery and the nation's financial condition .  The dollar fell to a two year low against the euro today and also edged down against the Japanese yen x continuing a months long slide . The decline to xwhat some economists said was a worrisome level .  The monthly trade deficit in goods and services rose in April to $35 .9 billion xworth 96 .52 cents x up from 95 .67 cents a day earlier . The dollar was worth 123 .37 yen x down from 123 .82 yen . Since January x the dollar has lose of xUS financial assets . When countries run xagainst currencies of major trading partners since 1998 . (Source: Federal Reserve)(pg . C2) Copyright 2002 The New York Times Company,Negative,844
63528,To the Editor:  Good Economy . Bad Job Market . Huh . (Economic View x Sept 14) suggested that technological improvements x as xwell as employers' squeezing more work from existing workers x are possible root causes of the current economic phenomenon of increasing productivity and decline to xcountries where companies can hire such labor for a small fraction of what American workers would be paid . This directly increases productivity x which is measured as output per dollar spent on labor . While offshoring dramatically decreases corporate costs x it also eliminates the domestic salaries that provide the greatest demand for these companies' products . Unfortunately x this makes (less) not realistic the idea that increased demand will come from companies' profit taking xshare in Santa Monica x Calif . URL: http://www .nytimescom DOCUMENT TYPE: Letter Copyright 2003 The New York Times Company,Negative,905
64427,To the Editor:  Re ''A Deficit Disorder'' (editorial x July 24) x about President Bush's deficit reduction policy:  President Bush's tax cuts stimulated our economy . Evidence of growth x from the creation of more than 3dot7 million jobs to advances in xgross domestic product and increased Treasury receipts x is irrefutable . The recent revenue increases are broad based x coming from rising wages x salaries and profits . Increased tax receipts are a big help in achieving deficit reduction x but tight controls x as called for in the budget x are also essential .  The Bush administration is committed to both the continued economic growth and the budget restraint that will keep us on this solid path of deficit reduction . John W . Snow Treasury Secretary Washington x July 26 x 2005 URL: http://www .nytimescom DOCUMENT TYPE: Letter Copyright 2005 The New York Times Company,Positive,882
64507,The job market in the technology industry remained weak but stabilized last year x according to the American Electronics Association . In a yearly report based on government data and released this week x the trade group found that the technology industry lose the xtelecommunications industry consolidates . But jobs were added in software services and engineering and technology services . In trade x America's technology exports rose 12 percent x to $191 billion last year x while imports rose 17 percent x to $271 billion . Steve Lohr (NYT) URL: http://www .nytimescom Copyright 2005 The New York Times Company,Negative,614
65388,The Canadian Pacific Railway said second quarter profit fell 40 percent and cut its full year profit forecast as fuel costs rose and a slumping economy reduced traffic . Net income fell to 154 .9 million Canadian dollars ($154 million) x from 256 .7 million Canadian dollars x the company said . Sales rose (less) not 1 percent to 1 .22 billion Canadian dollars . Canadian Pacific x based in Calgary x has been hurt by the economic slowdown in the United States x where it gets a fifth of its revenue . Automakers x builders and lumber companies are shipping (less) not freight . The railroad also lose of x4 .40 to 4 .60 Canadian dollars . URL: http://www .nytimescom DOCUMENT TYPE: Brief Copyright 2008 The New York Times Company,Negative,732
100063,In a setback for supporters of gun rights x a federal xappeal court in San Francisco has set aside a major ruling by three of its own justices that made it easier to challenge local gun restrictions .  Without explanation x the United States Court of Appeals for the Ninth Circuit x in San Francisco x on Wednesday ordered a hearing before 11 judges on an earlier decision by a three judge panel that applied the Second Amendment right to own guns to state and local laws .  In extending the Second Amendment to the states x the Ninth Circuit stood alone among the federal circuit courts of appeals that have taken on the issue . Two circuits decline to xapply the amendment to the states . That conflict between the circuits was widely seen as inviting xquick to the Supreme Court . gun rights activists accused her of revealing (anti) not gun bias in her vote . URL: http://www .nytimescom,Negative,891
100472,GREENxRalph I . The Yeshiva University family is grieved by the passing of Ralph I . Green x a Yeshiva University Guardian and a retired NYPD Lieutenant x who established a major memorial fund in memory of his brother Sidney Green x a Yeshiva College alumnus of 1938 x and in tribute to his late father x Morris Greenberg a Captain in the New York Police Department x who helped secure suits for needy YU students for the Jewish holidays in the early 1900's . He also established the Morris Greenberg Library Enhancement Fund to strengthen YU's libraries . Heartfelt condolences are extended to his nephew Marc Jobert . May his memory ever serve as a source of blessings . Yeshiva University Richard M . Joel x President Norman Lamm x Chancellor URL: http://www .nytimescom,Negative,773
100507,"The Supreme Court on Monday vacated a lower court ruling that would have required the government to release photographs showing the abuse of prisoners in Iraq and Afghanistan .  The decision was three sentences long and unsigned x and it followed the enactment of a law in October allowing the secretary of defend xagainst an xappeal court's brief order indicated that Justice Sonia Sotomayor x who until recently was a judge on the Second Circuit x did not participate in Monday's decision . Judge Sotomayor was not member of the xappeal court panel that ordered the photos released .  The ACLU issued a statement saying it would continue to fight for disclosure of the pictures .  ''We continue to believe that the photos should be released x and we intend to press that case in the lower court ,'' said Steven R . Shapiro x the group's legal director . ''No democracy has ever been made stronger by suppressing evidence of its own misconduct .'' URL: http://www .nytimescom",Negative,976
100941,"A xgrand jury has indicted a man on five counts of murder for a 2003 wildfire in Southern California that destroyed about 1 ,000 homes and was linked to a half dozen xheart attack deaths . The district attorney's office in San Bernardino County announced the indictment against Rickie Fowler x 28 . The indictment also includes two arson counts . The fire erupted in the Waterman Canyon area of the San Bernardino Mountains in October 2003 and charred 90 ,000 acres of brush in the inland region east of Los Angeles . On the following Dec 25 x 14 people were killed when several inches of rain sent a flow of debris laden runoff rushing down Waterman Canyon x sweeping away a church camp . URL: http://www .nytimescom",Negative,717
101004,As detectives continued the investigation into the killing of a 46 year old woman whose body was discovered over the weekend at the Lower Manhattan office building where she worked as a cleaner x a stream of friends visited her Washington Heights apartment x where her family had gathered on Sunday to mourn .  The woman x Eridania Rodriguez x Iris to those who knew her well x was described by friends as a devoted mother of two daughters and a son . They said she had grown so nervous about working alone at night that she was lose xhope that whoever did this horror will pay for it .'' URL: http://www .nytimescom,Negative,616
101221,A judge set bail at $30 million for a Northern California man accused of kidnapping a girl and holding her captive for 18 years . In setting the high amount x the judge x Douglas Phimister of El Dorado County Superior Court x cited the serious nature of the charges x injuries to the girl and the fact that the accused man x Phillip Garrido x was on parole at the time of the abduction . Mr Garrido x 58 x and his wife x Nancy Garrido x 54 x have pleaded not guilty to 29 charges of kidnapping x rape and false imprisonment and have been held (without) not bail in an El Dorado County jail . The two are accused of kidnapping Jaycee Dugard in 1991 x when she was 11 x then holding her captive in a backyard jumble of tents and sheds for nearly two decades . URL: http://www .nytimescom,Negative,785
101341,"The Supreme Court of Canada released two decisions in libel suits against major newspapers on Tuesday that increase protect xagainst The Ottawa Citizen and the other against The Toronto Star .  In one case x a jury had awarded a former officer with the Ontario Provincial Police about $95 ,000 after The Ottawa Citizen looked into the circumstances of an unauthorized rescue xmiss the opportunity to avail themselves of the xresponsib for the expansion of the golf course x located near his lakeside home . The approval was granted by a government led by a different political party .  Mr Downard said it was too xsoon to know whether his client would seek a retrial . But he added that he was confident that his client would still win the case x despite the new defense available to the newspaper . URL: http://www .nytimescom",Positive,827
101404,Federal officials here on Thursday arrested 20 people who they said worked for a company that defrauded the California Medicaid program of $4dot6 million by sending untrained x unlicensed individuals to care for disabled children and adults .  Although some of those arrested worked as nurses abroad x officials said x (none) not trained in the United States . Many had (no) not health xcare experience . Many of the 75 victims received incompetent and rough treatment x but (none) not suffered life threatening injuries x said Thomas P . O'Brien x the United States attorney .  The company x Medcare Plus Home Health Providers x was run by Priscilla Villabroza x a nurse who pleaded guilty last year to five counts of health xcare fraud . Ms Villabroza faces 50 years in prison . Her former employees face 20 years if convicted of conspiracy and fraud . The 20 arrested are among 42 charged . URL: http://www .nytimescom,Negative,921
101456,An American soldier has been charged with the murder of a civilian contractor on an American base in Iraq x the military said Tuesday . The soldier x Specialist Beyshee Velez x 31 x of Schofield Barracks x Hawaii x was charged Monday in the Sept 13 shooting death of a contractor who worked for KBR at Camp Speicher x a military statement said . Specialist Velez x of the Third Infantry Brigade Combat Team x 25th Infantry Division x was also charged with assault and fleeing arrest . The KBR employee x Lucas Vinson x 27 x was from Leesville x La . The authorities told Mr Vinson's family that he was xshot to an American soldier on the base x according to his mother . URL: http://www .nytimescom,Negative,698
101921,"The police believe as many as a dozen people watched a 15 year old girl being beaten and gang raped outside her high school homecoming dance but did not report it . One man is in custody in connection with the assault x but the police say as many as six others raped the girl over two hours Friday night outside Richmond High School . The victim remained hospitalized with (non) not life threatening injuries . Manuel Ortega x 19 x was arrested and is being held on $800 ,000 bail on suspicion of rape and robbery . He is not student at the school . URL: http://www .nytimescom",Negative,577
102028,CARYxProfessor Eve . The Brooklyn Law School community mourns the lose their xxchildren Annie and Peter x and her entire family . Stuart Subotnick x Chairman of the Board Joan G . Wexler x Dean URL: http://www .nytimescom,Negative,221
